,Accuracy,Precision,Recall,F1-Score,AUC-ROC
LR_BoW,0.6667,0.6667,1.0,0.8,0.0
LR_TF-IDF,0.6667,0.6667,1.0,0.8,0.0
NB_BoW,0.6667,0.6667,1.0,0.8,0.0
NB_TF-IDF,0.6667,0.6667,1.0,0.8,0.0
